Country,Count_State,Company_Owned,Franchise,Joint_Venture,Licensed,Total
Andorra,1,0,0,0,1,1
UAE,7,0,0,0,144,144
Argentina,5,0,0,1,107,108
Austria,3,17,0,0,1,18
Australia,3,0,0,0,22,22
Aruba,1,0,0,0,3,3
Azerbaijan,2,0,0,0,4,4
Belgium,5,0,0,0,19,19
Bulgaria,2,0,0,0,5,5
Bahrain,3,0,0,0,21,21
Brunei Darussalam,3,0,0,0,5,5
Bolivia,1,0,0,0,4,4
Brazil,2,102,0,0,0,102
Bahamas,2,0,0,0,10,10
Canada,11,1097,0,0,371,1468
Switzerland,10,57,0,0,4,61
Chile,4,0,0,0,96,96
China,31,1339,0,1220,175,2734
Colombia,1,0,0,0,11,11
Costa Rica,2,0,0,0,11,11
Curaçao,1,0,0,0,3,3
Cyprus,4,0,0,0,10,10
Czech Repulic,3,0,0,28,0,28
Germany,14,142,0,0,18,160
Denmark,5,0,0,0,21,21
Egypt,3,0,0,0,31,31
Spain,14,0,0,0,101,101
Finland,3,0,0,0,8,8
France,13,74,15,0,43,132
Great Britan,4,347,302,0,252,901
Greece,4,0,0,0,28,28
Guatemala,1,0,0,0,7,7
Hungary,1,0,0,16,0,16
Indonesia,17,0,0,0,268,268
Ireland,3,0,0,0,73,73
India,7,0,0,88,0,88
Jordan,2,0,0,0,17,17
Japan,47,101,0,1070,66,1237
Combodia,1,0,0,0,4,4
South Korea,16,0,0,993,0,993
Kuwait,6,0,0,0,106,106
Kazaksthan,2,0,0,0,8,8
Lebnan,3,0,0,0,29,29
Luxembourg,1,0,0,0,2,2
Morocco,2,0,0,0,9,9
Monaco,1,0,0,0,2,2
Mexico,31,0,0,0,579,579
Malaysia,13,0,0,6,228,234
Netherlands,7,10,0,0,49,59
Norway,7,0,0,0,17,17
Newzeland,2,0,0,0,24,24
Oman,2,0,0,0,12,12
Panama,2,0,0,0,5,5
Peru,9,0,0,0,89,89
Philippines,10,0,0,0,298,298
Poland,8,0,0,53,0,53
Proto Rieuco,1,1,0,0,23,24
Portugal,3,0,0,0,11,11
Qatar,1,0,0,0,18,18
Romania,8,0,0,0,27,27
Russia,9,0,0,107,2,109
South Africa,6,0,0,0,102,102
Sweden,4,0,0,0,18,18
Singapore,5,130,0,0,0,130
Slovakia,1,0,0,0,3,3
Salvador,3,0,0,0,11,11
Thiland,33,289,0,0,0,289
Turkey,24,0,0,0,326,326
Trinidad and Tobago,3,0,0,0,3,3
Taiwan,22,0,0,394,0,394
USA,51,8226,0,0,5382,13608
Vietnam,2,0,0,0,25,25
Zambia,1,0,0,0,3,3
